Course,Performance,Feedback
Machine Learning,85,Less Difficult
Machine Learning,88,Less Difficult
Machine Learning,86,Less Difficult
Machine Learning,89,Less Difficult
Machine Learning,87,Less Difficult
Machine Learning,90,Less Difficult
Machine Learning,88,Less Difficult
Machine Learning,85,Less Difficult
Machine Learning,86,Less Difficult
Machine Learning,89,Less Difficult
Machine Learning,87,Less Difficult
Machine Learning,90,Less Difficult
Machine Learning,88,Less Difficult
Machine Learning,85,Less Difficult
Machine Learning,86,Less Difficult
Machine Learning,89,Less Difficult
Machine Learning,87,Less Difficult
Machine Learning,90,Less Difficult
Machine Learning,88,Less Difficult
Machine Learning,85,Less Difficult
Machine Learning,86,Less Difficult
Machine Learning,89,Less Difficult
Machine Learning,87,Less Difficult
Machine Learning,90,Less Difficult
Machine Learning,88,Less Difficult
Machine Learning,85,Less Difficult
Machine Learning,86,Less Difficult
Machine Learning,89,Less Difficult
Machine Learning,87,Less Difficult
Machine Learning,90,Less Difficult
Big Data Analytics,80,Medium Difficult
Big Data Analytics,82,Medium Difficult
Big Data Analytics,79,Medium Difficult
Big Data Analytics,81,Medium Difficult
Big Data Analytics,83,Medium Difficult
Big Data Analytics,78,Medium Difficult
Big Data Analytics,80,Medium Difficult
Big Data Analytics,82,Medium Difficult
Big Data Analytics,79,Medium Difficult
Big Data Analytics,81,Medium Difficult
Big Data Analytics,83,Medium Difficult
Big Data Analytics,78,Medium Difficult
Big Data Analytics,80,Medium Difficult
Big Data Analytics,82,Medium Difficult
Big Data Analytics,79,Medium Difficult
Big Data Analytics,81,Medium Difficult
Big Data Analytics,83,Medium Difficult
Big Data Analytics,78,Medium Difficult
Big Data Analytics,80,Medium Difficult
Big Data Analytics,82,Medium Difficult
Big Data Analytics,79,Medium Difficult
Big Data Analytics,81,Medium Difficult
Big Data Analytics,83,Medium Difficult
Big Data Analytics,78,Medium Difficult
Big Data Analytics,80,Medium Difficult
Big Data Analytics,82,Medium Difficult
Big Data Analytics,79,Medium Difficult
Big Data Analytics,81,Medium Difficult
Big Data Analytics,83,Medium Difficult
Cyber Security,75,More Difficult
Cyber Security,73,More Difficult
Cyber Security,76,More Difficult
Cyber Security,74,More Difficult
Cyber Security,77,More Difficult
Cyber Security,72,More Difficult
Cyber Security,75,More Difficult
Cyber Security,73,More Difficult
Cyber Security,76,More Difficult
Cyber Security,74,More Difficult
Cyber Security,77,More Difficult
Cyber Security,72,More Difficult
Cyber Security,75,More Difficult
Cyber Security,73,More Difficult
Cyber Security,76,More Difficult
Cyber Security,74,More Difficult
Cyber Security,77,More Difficult
Cyber Security,72,More Difficult
Cyber Security,75,More Difficult
Cyber Security,73,More Difficult
Cyber Security,76,More Difficult
Cyber Security,74,More Difficult
Cyber Security,77,More Difficult
Cyber Security,72,More Difficult
Cyber Security,75,More Difficult
Cyber Security,73,More Difficult
Cyber Security,76,More Difficult
Cyber Security,74,More Difficult
Cyber Security,77,More Difficult
Cloud Computing,78,Medium Difficult
Cloud Computing,80,Medium Difficult
Cloud Computing,77,Medium Difficult
Cloud Computing,79,Medium Difficult
Cloud Computing,76,Medium Difficult
Cloud Computing,81,Medium Difficult
Cloud Computing,78,Medium Difficult
Cloud Computing,80,Medium Difficult
Cloud Computing,77,Medium Difficult
Cloud Computing,79,Medium Difficult
Cloud Computing,76,Medium Difficult
Cloud Computing,81,Medium Difficult
Cloud Computing,78,Medium Difficult
Cloud Computing,80,Medium Difficult
Cloud Computing,77,Medium Difficult
Cloud Computing,79,Medium Difficult
Cloud Computing,76,Medium Difficult
Cloud Computing,81,Medium Difficult
Cloud Computing,78,Medium Difficult
Cloud Computing,80,Medium Difficult
Cloud Computing,77,Medium Difficult
Cloud Computing,79,Medium Difficult
Cloud Computing,76,Medium Difficult
Cloud Computing,81,Medium Difficult
Cloud Computing,78,Medium Difficult
Cloud Computing,80,Medium Difficult
Cloud Computing,77,Medium Difficult
Cloud Computing,79,Medium Difficult
Cloud Computing,76,Medium Difficult
Cloud Computing,81,Medium Difficult
```````````````````````````
