Course,Performance,Feedback
Compiler Design,30,Less Difficult
Compiler Design,35,Less Difficult
Compiler Design,40,Less Difficult
Compiler Design,45,Less Difficult
Compiler Design,35,Less Difficult
Compiler Design,38,Less Difficult
Compiler Design,40,Less Difficult
Compiler Design,42,Less Difficult
Compiler Design,37,Less Difficult
Compiler Design,43,Less Difficult
Compiler Design,39,Less Difficult
Compiler Design,41,Less Difficult
Compiler Design,44,Less Difficult
Compiler Design,36,Less Difficult
Compiler Design,38,Less Difficult
Compiler Design,42,Less Difficult
Compiler Design,40,Less Difficult
Compiler Design,37,Less Difficult
Compiler Design,39,Less Difficult
Compiler Design,41,Less Difficult
Computer Graphics,50,Medium Difficult
Computer Graphics,55,Medium Difficult
Computer Graphics,60,Medium Difficult
Computer Graphics,65,Medium Difficult
Computer Graphics,55,Medium Difficult
Computer Graphics,58,Medium Difficult
Computer Graphics,60,Medium Difficult
Computer Graphics,62,Medium Difficult
Computer Graphics,57,Medium Difficult
Computer Graphics,63,Medium Difficult
Computer Graphics,59,Medium Difficult
Computer Graphics,61,Medium Difficult
Computer Graphics,64,Medium Difficult
Computer Graphics,56,Medium Difficult
Computer Graphics,58,Medium Difficult
Computer Graphics,62,Medium Difficult
Computer Graphics,60,Medium Difficult
Computer Graphics,57,Medium Difficult
Computer Graphics,59,Medium Difficult
Computer Graphics,61,Medium Difficult
Artificial Intelligence,70,Medium Difficult
Artificial Intelligence,75,Medium Difficult
Artificial Intelligence,80,Medium Difficult
Artificial Intelligence,85,Medium Difficult
Artificial Intelligence,75,Medium Difficult
Artificial Intelligence,78,Medium Difficult
Artificial Intelligence,80,Medium Difficult
Artificial Intelligence,82,Medium Difficult
Artificial Intelligence,77,Medium Difficult
Artificial Intelligence,83,Medium Difficult
Artificial Intelligence,79,Medium Difficult
Artificial Intelligence,81,Medium Difficult
Artificial Intelligence,84,Medium Difficult
Artificial Intelligence,76,Medium Difficult
Artificial Intelligence,78,Medium Difficult
Artificial Intelligence,82,Medium Difficult
Artificial Intelligence,80,Medium Difficult
Artificial Intelligence,77,Medium Difficult
Artificial Intelligence,79,Medium Difficult
Artificial Intelligence,81,Medium Difficult
Embedded Systems,80,More Difficult
Embedded Systems,85,More Difficult
Embedded Systems,90,More Difficult
Embedded Systems,95,More Difficult
Embedded Systems,85,More Difficult
Embedded Systems,88,More Difficult
Embedded Systems,90,More Difficult
Embedded Systems,92,More Difficult
Embedded Systems,87,More Difficult
Embedded Systems,93,More Difficult
Embedded Systems,89,More Difficult
Embedded Systems,91,More Difficult
Embedded Systems,94,More Difficult
Embedded Systems,86,More Difficult
Embedded Systems,88,More Difficult
Embedded Systems,92,More Difficult
Embedded Systems,90,More Difficult
Embedded Systems,87,More Difficult
Embedded Systems,89,More Difficult
Embedded Systems,91,More Difficult
