Course,Performance,Feedback
Engineering Mathematics I,80,More Difficult
Engineering Mathematics I,85,More Difficult
Engineering Mathematics I,90,More Difficult
Engineering Mathematics I,95,More Difficult
Engineering Mathematics I,85,More Difficult
Engineering Mathematics I,88,More Difficult
Engineering Mathematics I,90,More Difficult
Engineering Mathematics I,92,More Difficult
Engineering Mathematics I,87,More Difficult
Engineering Mathematics I,93,More Difficult
Engineering Mathematics I,89,More Difficult
Engineering Mathematics I,91,More Difficult
Engineering Mathematics I,94,More Difficult
Engineering Mathematics I,86,More Difficult
Engineering Mathematics I,88,More Difficult
Engineering Mathematics I,92,More Difficult
Engineering Mathematics I,90,More Difficult
Engineering Mathematics I,87,More Difficult
Engineering Mathematics I,89,More Difficult
Engineering Mathematics I,91,More Difficult
Engineering Physics,70,Medium Difficult
Engineering Physics,75,Medium Difficult
Engineering Physics,80,Medium Difficult
Engineering Physics,85,Medium Difficult
Engineering Physics,75,Medium Difficult
Engineering Physics,78,Medium Difficult
Engineering Physics,80,Medium Difficult
Engineering Physics,82,Medium Difficult
Engineering Physics,77,Medium Difficult
Engineering Physics,83,Medium Difficult
Engineering Physics,79,Medium Difficult
Engineering Physics,81,Medium Difficult
Engineering Physics,84,Medium Difficult
Engineering Physics,76,Medium Difficult
Engineering Physics,78,Medium Difficult
Engineering Physics,82,Medium Difficult
Engineering Physics,80,Medium Difficult
Engineering Physics,77,Medium Difficult
Engineering Physics,79,Medium Difficult
Engineering Physics,81,Medium Difficult
Engineering Chemistry,50,Medium Difficult
Engineering Chemistry,55,Medium Difficult
Engineering Chemistry,60,Medium Difficult
Engineering Chemistry,65,Medium Difficult
Engineering Chemistry,55,Medium Difficult
Engineering Chemistry,58,Medium Difficult
Engineering Chemistry,60,Medium Difficult
Engineering Chemistry,62,Medium Difficult
Engineering Chemistry,57,Medium Difficult
Engineering Chemistry,63,Medium Difficult
Engineering Chemistry,59,Medium Difficult
Engineering Chemistry,61,Medium Difficult
Engineering Chemistry,64,Medium Difficult
Engineering Chemistry,56,Medium Difficult
Engineering Chemistry,58,Medium Difficult
Engineering Chemistry,62,Medium Difficult
Engineering Chemistry,60,Medium Difficult
Engineering Chemistry,57,Medium Difficult
Engineering Chemistry,59,Medium Difficult
Engineering Chemistry,61,Medium Difficult
Basic Electrical Engineering,30,Less Difficult
Basic Electrical Engineering,35,Less Difficult
Basic Electrical Engineering,40,Less Difficult
Basic Electrical Engineering,45,Less Difficult
Basic Electrical Engineering,35,Less Difficult
Basic Electrical Engineering,38,Less Difficult
Basic Electrical Engineering,40,Less Difficult
Basic Electrical Engineering,42,Less Difficult
Basic Electrical Engineering,37,Less Difficult
Basic Electrical Engineering,43,Less Difficult
Basic Electrical Engineering,39,Less Difficult
Basic Electrical Engineering,41,Less Difficult
Basic Electrical Engineering,44,Less Difficult
Basic Electrical Engineering,36,Less Difficult
Basic Electrical Engineering,38,Less Difficult
Basic Electrical Engineering,42,Less Difficult
Basic Electrical Engineering,40,Less Difficult
Basic Electrical Engineering,37,Less Difficult
Basic Electrical Engineering,39,Less Difficult
Basic Electrical Engineering,41,Less Difficult
