Course,Performance,Feedback
Project Work,85,Less Difficult
Project Work,90,Less Difficult
Project Work,88,Less Difficult
Project Work,87,Less Difficult
Project Work,89,Less Difficult
Project Work,92,Less Difficult
Project Work,91,Less Difficult
Project Work,86,Less Difficult
Project Work,88,Less Difficult
Project Work,85,Less Difficult
Project Work,87,Less Difficult
Project Work,89,Less Difficult
Project Work,90,Less Difficult
Project Work,92,Less Difficult
Project Work,91,Less Difficult
Project Work,86,Less Difficult
Project Work,88,Less Difficult
Project Work,85,Less Difficult
Project Work,87,Less Difficult
Project Work,89,Less Difficult
Project Work,90,Less Difficult
Project Work,92,Less Difficult
Project Work,91,Less Difficult
Project Work,86,Less Difficult
Project Work,88,Less Difficult
Project Work,85,Less Difficult
Project Work,87,Less Difficult
Project Work,89,Less Difficult
Project Work,90,Less Difficult
Project Work,92,Less Difficult
Internship,80,Medium Difficult
Internship,78,Medium Difficult
Internship,85,Medium Difficult
Internship,82,Medium Difficult
Internship,79,Medium Difficult
Internship,81,Medium Difficult
Internship,84,Medium Difficult
Internship,83,Medium Difficult
Internship,80,Medium Difficult
Internship,78,Medium Difficult
Internship,85,Medium Difficult
Internship,82,Medium Difficult
Internship,79,Medium Difficult
Internship,81,Medium Difficult
Internship,84,Medium Difficult
Internship,83,Medium Difficult
Internship,80,Medium Difficult
Internship,78,Medium Difficult
Internship,85,Medium Difficult
Internship,82,Medium Difficult
Internship,79,Medium Difficult
Internship,81,Medium Difficult
Internship,84,Medium Difficult
Internship,83,Medium Difficult
Internship,80,Medium Difficult
Internship,78,Medium Difficult
Internship,85,Medium Difficult
Internship,82,Medium Difficult
Internship,79,Medium Difficult
Internship,81,Medium Difficult
Elective I,75,More Difficult
Elective I,72,More Difficult
Elective I,70,More Difficult
Elective I,68,More Difficult
Elective I,73,More Difficult
Elective I,74,More Difficult
Elective I,71,More Difficult
Elective I,69,More Difficult
Elective I,75,More Difficult
Elective I,72,More Difficult
Elective I,70,More Difficult
Elective I,68,More Difficult
Elective I,73,More Difficult
Elective I,74,More Difficult
Elective I,71,More Difficult
Elective I,69,More Difficult
Elective I,75,More Difficult
Elective I,72,More Difficult
Elective I,70,More Difficult
Elective I,68,More Difficult
Elective I,73,More Difficult
Elective I,74,More Difficult
Elective I,71,More Difficult
Elective I,69,More Difficult
Elective I,75,More Difficult
Elective I,72,More Difficult
Elective I,70,More Difficult
Elective I,68,More Difficult
Elective I,73,More Difficult
Elective I,74,More Difficult
Elective II,77,Medium Difficult
Elective II,79,Medium Difficult
Elective II,76,Medium Difficult
Elective II,78,Medium Difficult
Elective II,75,Medium Difficult
Elective II,80,Medium Difficult
Elective II,74,Medium Difficult
Elective II,73,Medium Difficult
Elective II,77,Medium Difficult
Elective II,79,Medium Difficult
Elective II,76,Medium Difficult
Elective II,78,Medium Difficult
Elective II,75,Medium Difficult
Elective II,80,Medium Difficult
Elective II,74,Medium Difficult
Elective II,73,Medium Difficult
Elective II,77,Medium Difficult
Elective II,79,Medium Difficult
Elective II,76,Medium Difficult
Elective II,78,Medium Difficult
Elective II,75,Medium Difficult
Elective II,80,Medium Difficult
Elective II,74,Medium Difficult
Elective II,73,Medium Difficult
Elective II,77,Medium Difficult
Elective II,79,Medium Difficult
Elective II,76,Medium Difficult
Elective II,78,Medium Difficult
Elective II,75,Medium Difficult
Elective II,80,Medium Difficult
Elective II,74,Medium Difficult
